work_order_id,asset_id,site_code,region,work_order_date,maintenance_type,failure_category,failure_subcategory,priority_level,technician_id,vendor_name,labor_hours,downtime_hours,parts_cost_usd,labor_cost_usd,repair_cost_usd,response_time_hours,resolution_time_hours,status,sla_breach_flag,repeat_failure_flag,year_month
WO0005577,AST00388,SJC01,AMER-West,2024-01-01,Preventive,Sensor,Flow sensor,P2,TECH0013,PowerGrid Mechanical,2.2,0.82,334,253,685,9.6,12.56,Completed,0,0,2024-01
WO0005765,AST00399,PHX01,AMER-West,2024-01-01,Corrective,Capacitor,Bulge,P3,TECH0014,FacilityPro,12.6,3.4,5033,1890,7066,1.38,14.54,Completed,0,0,2024-01
WO0005475,AST00384,DAL01,AMER-Central,2024-01-01,Preventive,Routine Wear,Alignment,P3,TECH0044,Schneider Services,1.5,2.2,1014,156,1483,8.72,10.31,Completed,0,0,2024-01
WO0001160,AST00085,SEA01,AMER-West,2024-01-01,Corrective,Capacitor,Capacitor aging,P2,TECH0111,FacilityPro,11.1,6.4,1083,1365,2634,2.3,15.46,Completed,1,0,2024-01
WO0003510,AST00251,LAX01,AMER-West,2024-01-01,Corrective,Routine Wear,Alignment,P3,TECH0054,DataVolt,14.0,10.2,2601,1694,4335,1.47,17.96,Completed,1,1,2024-01
WO0001830,AST00129,SJC01,AMER-West,2024-01-01,Corrective,Routine Wear,Seal wear,P2,TECH0007,EcoCool,19.5,8.65,3201,2496,5765,2.67,23.72,Completed,1,0,2024-01
WO0006063,AST00418,TOR01,AMER-Central,2024-01-01,Corrective,Rectifier,Power board,P3,TECH0042,FacilityPro,14.7,4.81,4489,2307,7080,0.2,16.47,Completed,0,1,2024-01
WO0003650,AST00262,LAX01,AMER-West,2024-01-01,Preventive,Battery,Battery bank,P4,TECH0038,Vertiv Services,6.8,2.78,88,632,888,9.43,17.06,Completed,0,0,2024-01
WO0005299,AST00372,DAL01,AMER-Central,2024-01-01,Preventive,Compressor,Compressor vibration,P2,TECH0093,DataVolt,4.8,2.27,431,475,1116,8.38,15.38,Completed,0,0,2024-01
WO0003667,AST00264,NYC01,AMER-East,2024-01-01,Corrective,Fuel System,Fuel pump,P3,TECH0008,CBRE Ops,11.0,4.11,3124,1749,5199,2.57,16.23,Completed,0,0,2024-01
WO0004647,AST00326,SJC01,AMER-West,2024-01-01,Corrective,Sensor,Pressure sensor,P1,TECH0058,Vertiv Services,11.0,10.22,1198,1199,2486,2.94,13.72,Closed,1,0,2024-01
WO0007708,AST00537,ASH01,AMER-East,2024-01-01,Corrective,Battery,Cell degradation,P2,TECH0108,CBRE Ops,8.6,4.25,4074,963,5409,3.22,12.99,Completed,0,0,2024-01
WO0006381,AST00436,DAL01,AMER-Central,2024-01-01,Corrective,Cooling Loop,Heat exchanger,P2,TECH0107,CBRE Ops,16.3,4.27,3530,2608,6483,0.95,18.02,Completed,0,1,2024-01
WO0000570,AST00043,MIA01,AMER-Central,2024-01-01,Corrective,Fan Motor,Bearing wear,P3,TECH0038,EcoCool,14.8,8.34,832,2427,3594,2.46,19.59,In Review,1,1,2024-01
WO0007519,AST00521,ASH01,AMER-East,2024-01-01,Preventive,Valve,Valve blockage,P4,TECH0091,PowerGrid Mechanical,7.6,0.3,600,1041,1962,7.33,15.01,Closed,0,0,2024-01
WO0002156,AST00153,DEN01,AMER-Central,2024-01-01,Preventive,Routine Wear,Alignment,P2,TECH0054,EcoCool,2.4,2.49,290,235,866,7.38,11.64,Completed,0,0,2024-01
WO0000673,AST00051,ASH01,AMER-East,2024-01-01,Preventive,Breaker,Trip event,P3,TECH0099,Schneider Services,10.2,0.87,642,1305,2032,9.9,21.29,Completed,0,0,2024-01
WO0005909,AST00408,DAL01,AMER-Central,2024-01-01,Preventive,Firmware,Sensor mapping,P1,TECH0042,DataVolt,8.5,3.27,336,1028,1438,8.83,19.37,Completed,0,0,2024-01
WO0005063,AST00358,ASH01,AMER-East,2024-01-01,Preventive,Routine Wear,Inspection finding,P1,TECH0026,Schneider Services,1.5,2.3,979,169,1487,7.4,10.51,Completed,0,0,2024-01
WO0000525,AST00041,PHX01,AMER-West,2024-01-01,Corrective,Compressor,Compressor vibration,P1,TECH0023,ABB Services,15.1,9.39,4647,2008,7043,2.93,19.81,Closed,1,1,2024-01
WO0007756,AST00540,DAL01,AMER-Central,2024-01-01,Corrective,Sensor,Temperature sensor,P3,TECH0028,FacilityPro,15.6,8.64,2658,1575,4472,0.73,18.92,Completed,1,0,2024-01
WO0005083,AST00359,SJC01,AMER-West,2024-01-02,Corrective,Compressor,Bearing wear,P4,TECH0119,EcoCool,14.5,5.71,3095,1392,4684,0.2,16.45,Closed,1,1,2024-01
WO0004149,AST00296,ATL01,AMER-East,2024-01-02,Corrective,Cooling Loop,Pump,P4,TECH0081,CBRE Ops,14.3,8.43,4192,2044,6498,0.92,17.07,Completed,1,0,2024-01
WO0005443,AST00381,DAL01,AMER-Central,2024-01-02,Corrective,Routine Wear,Alignment,P4,TECH0054,FacilityPro,24.7,6.18,4363,2395,7099,2.15,27.34,Completed,1,0,2024-01
WO0002124,AST00151,NYC01,AMER-East,2024-01-02,Corrective,Compressor,Compressor vibration,P4,TECH0085,ABB Services,11.0,6.51,4936,1639,6758,0.2,13.91,Completed,1,0,2024-01
WO0004471,AST00319,CHI01,AMER-East,2024-01-02,Corrective,Controller,Control board,P3,TECH0018,Vertiv Services,12.7,11.29,4989,1219,6392,0.2,13.98,Completed,1,0,2024-01
WO0007594,AST00527,ATL01,AMER-East,2024-01-02,Corrective,Valve,Valve blockage,P3,TECH0044,EcoCool,20.5,8.39,3285,2890,6233,3.26,25.07,Completed,1,0,2024-01
WO0002457,AST00175,DEN01,AMER-Central,2024-01-02,Corrective,Routine Wear,Alignment,P2,TECH0079,CBRE Ops,17.9,6.36,3683,2094,6127,0.82,20.2,Completed,1,0,2024-01
WO0007101,AST00494,ATL01,AMER-East,2024-01-02,Corrective,Compressor,Bearing wear,P4,TECH0002,DataVolt,24.0,4.9,1714,3648,5660,2.65,27.15,Completed,0,1,2024-01
WO0007606,AST00527,ATL01,AMER-East,2024-01-02,Corrective,Fan Motor,Bearing wear,P2,TECH0022,DataVolt,25.6,5.72,3366,2534,5966,0.72,30.16,Completed,1,1,2024-01
WO0007543,AST00522,SJC01,AMER-West,2024-01-02,Corrective,Battery,Battery connector,P3,TECH0112,DataVolt,5.1,7.91,4061,770,5104,0.2,7.15,Completed,1,0,2024-01
WO0005024,AST00355,LAX01,AMER-West,2024-01-02,Corrective,Fan Motor,Bearing wear,P4,TECH0092,FacilityPro,10.8,4.58,6177,1144,7659,1.12,13.26,Completed,0,0,2024-01
WO0000874,AST00063,SJC01,AMER-West,2024-01-02,Preventive,Routine Wear,Inspection finding,P3,TECH0105,CBRE Ops,1.5,2.33,763,141,1205,6.53,11.46,Completed,0,0,2024-01
WO0004140,AST00296,ATL01,AMER-East,2024-01-02,Preventive,Sensor,Temperature sensor,P3,TECH0074,FacilityPro,7.7,1.74,835,1070,2256,9.19,20.29,Completed,0,0,2024-01
WO0001596,AST00113,SJC01,AMER-West,2024-01-02,Preventive,Sensor,Temperature sensor,P3,TECH0057,Vertiv Services,4.6,1.9,530,436,1325,6.93,11.56,Closed,0,0,2024-01
