asset_id,site_code,region,asset_type,manufacturer,model_number,serial_number,install_date,commission_date,expected_life_years,current_age_years,asset_condition,condition_score,criticality_level,capacity_rating,capacity_unit,replacement_cost_usd,depreciated_value_usd,asset_status,energy_efficiency_rating,last_maintenance_date
AST00001,SEA01,AMER-West,Generator,Cummins,CUM-GEN-291,SN2033551,2016-07-19,2016-08-13,15,8.9,Warning,64.1,High,2184,kW,464779,234971,Active,A,2025-04-21
AST00002,PHX01,AMER-West,Chiller,York,YOR-CHI-121,SN3587952,2019-04-09,2019-05-08,11,6.2,Warning,72.8,Medium,710,Tons,276730,146750,Active,A,2025-04-02
AST00003,CHI01,AMER-East,Cooling,Trane,TRA-COO-882,SN1657253,2017-01-02,2017-02-22,10,8.5,Critical,50.3,Medium,130,Tons,132435,38626,Active,C,2025-05-20
AST00004,SJC01,AMER-West,Cooling,Carrier,CAR-COO-931,SN3735384,2013-06-21,2013-08-01,10,12.0,Critical,28.8,Medium,386,Tons,106606,15990,Active,A,2025-05-07
AST00005,DAL01,AMER-Central,UPS,Schneider,SCH-UPS-439,SN3519955,2017-11-28,2018-01-18,12,7.6,Warning,61.0,High,1205,kVA,138555,65428,Active,A,2025-04-19
AST00006,ASH01,AMER-East,Generator,Cummins,CUM-GEN-875,SN9969426,2016-12-31,2017-02-08,15,8.5,Warning,66.8,Medium,3253,kW,740337,390733,Active,B,2025-06-17
AST00007,LAX01,AMER-West,Chiller,Trane,TRA-CHI-665,SN4410977,2020-10-18,2020-10-26,11,4.7,Warning,73.4,High,626,Tons,322283,207530,Active,C,2025-06-28
AST00008,MIA01,AMER-Central,UPS,Schneider,SCH-UPS-301,SN3231658,2010-06-11,2010-07-21,12,15.1,Critical,41.5,Medium,519,kVA,101534,15230,Active,A,2025-06-18
AST00009,DAL01,AMER-Central,Chiller,York,YOR-CHI-801,SN6798799,2022-06-18,2022-07-13,11,3.0,Good,90.5,Low,869,Tons,144300,111504,Active,B,2025-06-24
AST00010,SEA01,AMER-West,UPS,Vertiv,VER-UPS-978,SN63355610,2010-12-04,2011-01-01,12,14.6,Critical,51.7,High,466,kVA,307851,46177,Active,A,2025-05-28
AST00011,SEA01,AMER-West,Generator,Kohler,KOH-GEN-912,SN47689611,2011-01-15,2011-02-13,15,14.5,Critical,40.2,High,2367,kW,735808,143073,Active,B,2025-06-16
AST00012,TOR01,AMER-Central,Cooling,Stulz,STU-COO-747,SN74866312,2015-07-21,2015-08-05,10,9.9,Critical,38.2,High,160,Tons,78986,13822,Active,A,2025-05-11
