year_month,site_code,region,cost_center,spend_category,budget_usd,actual_spend_usd,variance_usd,variance_pct,vendor_name,po_number
2024-01,ASH01,AMER-East,OPS-FAC,Maintenance Opex,240635,227166,-13469,-5.6,FacilityPro,PO100001
2024-01,ASH01,AMER-East,OPS-DC,Power Opex,463884,473092,9208,1.98,EcoCool,PO100002
2024-01,ASH01,AMER-East,OPS-DC,Capex Replacement,364734,342715,-22019,-6.04,DataVolt,PO100003
2024-01,ASH01,AMER-East,OPS-FAC,Vendor Services,53689,53748,59,0.11,PowerGrid Mechanical,PO100004
2024-01,ATL01,AMER-East,FIN-CAPEX,Maintenance Opex,165554,176233,10679,6.45,PowerGrid Mechanical,PO100005
2024-01,ATL01,AMER-East,OPS-DC,Power Opex,108699,109509,810,0.75,FacilityPro,PO100006
2024-01,ATL01,AMER-East,FIN-CAPEX,Capex Replacement,256026,276526,20500,8.01,PowerGrid Mechanical,PO100007
2024-01,ATL01,AMER-East,ENG-SVC,Vendor Services,48990,48238,-752,-1.54,CBRE Ops,PO100008
2024-01,CHI01,AMER-East,OPS-FAC,Maintenance Opex,137352,138981,1629,1.19,CBRE Ops,PO100009
2024-01,CHI01,AMER-East,FIN-CAPEX,Power Opex,200828,209120,8292,4.13,ABB Services,PO100010
2024-01,CHI01,AMER-East,OPS-FAC,Capex Replacement,223459,220735,-2724,-1.22,PowerGrid Mechanical,PO100011
2024-01,CHI01,AMER-East,OPS-DC,Vendor Services,36190,37901,1711,4.73,DataVolt,PO100012
2024-01,DAL01,AMER-Central,OPS-DC,Maintenance Opex,375692,346266,-29426,-7.83,Vertiv Services,PO100013
2024-01,DAL01,AMER-Central,ENG-SVC,Power Opex,378410,349839,-28571,-7.55,CBRE Ops,PO100014
2024-01,DAL01,AMER-Central,FIN-CAPEX,Capex Replacement,571701,577832,6131,1.07,FacilityPro,PO100015
2024-01,DAL01,AMER-Central,ENG-SVC,Vendor Services,110063,122558,12495,11.35,EcoCool,PO100016
2024-01,DEN01,AMER-Central,OPS-DC,Maintenance Opex,64619,62694,-1925,-2.98,FacilityPro,PO100017
2024-01,DEN01,AMER-Central,OPS-DC,Power Opex,80282,83614,3332,4.15,FacilityPro,PO100018
2024-01,DEN01,AMER-Central,ENG-SVC,Capex Replacement,47564,46915,-649,-1.36,ABB Services,PO100019
2024-01,DEN01,AMER-Central,OPS-DC,Vendor Services,12026,13098,1072,8.91,EcoCool,PO100020
2024-01,LAX01,AMER-West,OPS-DC,Maintenance Opex,124232,140866,16634,13.39,FacilityPro,PO100021
2024-01,LAX01,AMER-West,OPS-FAC,Power Opex,206292,221302,15010,7.28,Schneider Services,PO100022
2024-01,LAX01,AMER-West,OPS-DC,Capex Replacement,208603,202051,-6552,-3.14,DataVolt,PO100023
2024-01,LAX01,AMER-West,ENG-SVC,Vendor Services,23337,23795,458,1.96,FacilityPro,PO100024
2024-01,MIA01,AMER-Central,OPS-DC,Maintenance Opex,40806,47230,6424,15.74,DataVolt,PO100025
2024-01,MIA01,AMER-Central,OPS-DC,Power Opex,95778,96270,492,0.51,DataVolt,PO100026
2024-01,MIA01,AMER-Central,OPS-FAC,Capex Replacement,61648,64723,3075,4.99,DataVolt,PO100027
2024-01,MIA01,AMER-Central,FIN-CAPEX,Vendor Services,15962,15891,-71,-0.44,ABB Services,PO100028
2024-01,NYC01,AMER-East,ENG-SVC,Maintenance Opex,156992,162761,5769,3.67,FacilityPro,PO100029
2024-01,NYC01,AMER-East,FIN-CAPEX,Power Opex,192150,215704,23554,12.26,DataVolt,PO100030
2024-01,NYC01,AMER-East,OPS-FAC,Capex Replacement,198730,186967,-11763,-5.92,DataVolt,PO100031
2024-01,NYC01,AMER-East,FIN-CAPEX,Vendor Services,32879,36784,3905,11.88,Schneider Services,PO100032
2024-01,PHX01,AMER-West,ENG-SVC,Maintenance Opex,95075,98052,2977,3.13,Schneider Services,PO100033
2024-01,PHX01,AMER-West,FIN-CAPEX,Power Opex,109492,110781,1289,1.18,EcoCool,PO100034
2024-01,PHX01,AMER-West,OPS-DC,Capex Replacement,86356,94847,8491,9.83,ABB Services,PO100035
2024-01,PHX01,AMER-West,FIN-CAPEX,Vendor Services,33451,32708,-743,-2.22,EcoCool,PO100036
2024-01,SEA01,AMER-West,ENG-SVC,Maintenance Opex,122579,120734,-1845,-1.51,ABB Services,PO100037
2024-01,SEA01,AMER-West,FIN-CAPEX,Power Opex,94514,103024,8510,9.0,EcoCool,PO100038
2024-01,SEA01,AMER-West,OPS-FAC,Capex Replacement,146309,137910,-8399,-5.74,Schneider Services,PO100039
2024-01,SEA01,AMER-West,OPS-DC,Vendor Services,20220,19469,-751,-3.71,DataVolt,PO100040
2024-01,SJC01,AMER-West,OPS-FAC,Maintenance Opex,253868,294145,40277,15.87,ABB Services,PO100041
2024-01,SJC01,AMER-West,OPS-DC,Power Opex,357853,379171,21318,5.96,EcoCool,PO100042
2024-01,SJC01,AMER-West,OPS-DC,Capex Replacement,329354,315965,-13389,-4.07,Vertiv Services,PO100043
2024-01,SJC01,AMER-West,OPS-DC,Vendor Services,54025,60425,6400,11.85,FacilityPro,PO100044
2024-01,TOR01,AMER-Central,OPS-FAC,Maintenance Opex,142641,163581,20940,14.68,DataVolt,PO100045
2024-01,TOR01,AMER-Central,OPS-DC,Power Opex,146631,162593,15962,10.89,Vertiv Services,PO100046
2024-01,TOR01,AMER-Central,OPS-FAC,Capex Replacement,185046,197983,12937,6.99,PowerGrid Mechanical,PO100047
2024-01,TOR01,AMER-Central,OPS-DC,Vendor Services,30994,31173,179,0.58,EcoCool,PO100048
2024-02,ASH01,AMER-East,OPS-DC,Maintenance Opex,273227,281497,8270,3.03,Vertiv Services,PO100049
2024-02,ASH01,AMER-East,FIN-CAPEX,Power Opex,566995,527033,-39962,-7.05,FacilityPro,PO100050
2024-02,ASH01,AMER-East,FIN-CAPEX,Capex Replacement,360495,395003,34508,9.57,Schneider Services,PO100051
2024-02,ASH01,AMER-East,OPS-FAC,Vendor Services,100150,95175,-4975,-4.97,CBRE Ops,PO100052
2024-02,ATL01,AMER-East,OPS-DC,Maintenance Opex,75612,82636,7024,9.29,FacilityPro,PO100053
2024-02,ATL01,AMER-East,ENG-SVC,Power Opex,109324,119562,10238,9.36,Vertiv Services,PO100054
2024-02,ATL01,AMER-East,OPS-DC,Capex Replacement,129681,131926,2245,1.73,DataVolt,PO100055
2024-02,ATL01,AMER-East,OPS-DC,Vendor Services,29518,27420,-2098,-7.11,PowerGrid Mechanical,PO100056
2024-02,CHI01,AMER-East,OPS-DC,Maintenance Opex,177467,172469,-4998,-2.82,ABB Services,PO100057
2024-02,CHI01,AMER-East,OPS-DC,Power Opex,222797,232041,9244,4.15,ABB Services,PO100058
2024-02,CHI01,AMER-East,OPS-DC,Capex Replacement,279361,273673,-5688,-2.04,EcoCool,PO100059
2024-02,CHI01,AMER-East,OPS-DC,Vendor Services,56685,56372,-313,-0.55,Schneider Services,PO100060
2024-02,DAL01,AMER-Central,ENG-SVC,Maintenance Opex,245507,226448,-19059,-7.76,Schneider Services,PO100061
2024-02,DAL01,AMER-Central,OPS-DC,Power Opex,399905,374151,-25754,-6.44,Vertiv Services,PO100062
2024-02,DAL01,AMER-Central,OPS-DC,Capex Replacement,342810,346582,3772,1.1,Schneider Services,PO100063
2024-02,DAL01,AMER-Central,OPS-DC,Vendor Services,84362,83113,-1249,-1.48,PowerGrid Mechanical,PO100064
2024-02,DEN01,AMER-Central,OPS-DC,Maintenance Opex,60572,59347,-1225,-2.02,Vertiv Services,PO100065
2024-02,DEN01,AMER-Central,OPS-DC,Power Opex,102275,101851,-424,-0.41,DataVolt,PO100066
2024-02,DEN01,AMER-Central,OPS-FAC,Capex Replacement,42757,48544,5787,13.53,CBRE Ops,PO100067
2024-02,DEN01,AMER-Central,OPS-DC,Vendor Services,14275,14403,128,0.9,CBRE Ops,PO100068
2024-02,LAX01,AMER-West,OPS-FAC,Maintenance Opex,105261,99044,-6217,-5.91,ABB Services,PO100069
2024-02,LAX01,AMER-West,FIN-CAPEX,Power Opex,219498,229292,9794,4.46,Schneider Services,PO100070
2024-02,LAX01,AMER-West,OPS-DC,Capex Replacement,164029,158366,-5663,-3.45,FacilityPro,PO100071
2024-02,LAX01,AMER-West,FIN-CAPEX,Vendor Services,22120,20620,-1500,-6.78,Vertiv Services,PO100072
2024-02,MIA01,AMER-Central,OPS-DC,Maintenance Opex,59687,65766,6079,10.18,Vertiv Services,PO100073
2024-02,MIA01,AMER-Central,ENG-SVC,Power Opex,104754,113460,8706,8.31,Schneider Services,PO100074
2024-02,MIA01,AMER-Central,OPS-DC,Capex Replacement,86493,94470,7977,9.22,FacilityPro,PO100075
2024-02,MIA01,AMER-Central,OPS-DC,Vendor Services,19301,19017,-284,-1.47,ABB Services,PO100076
2024-02,NYC01,AMER-East,OPS-DC,Maintenance Opex,95883,95488,-395,-0.41,Vertiv Services,PO100077
2024-02,NYC01,AMER-East,OPS-FAC,Power Opex,166333,185600,19267,11.58,DataVolt,PO100078
2024-02,NYC01,AMER-East,OPS-DC,Capex Replacement,139706,157275,17569,12.58,PowerGrid Mechanical,PO100079
2024-02,NYC01,AMER-East,FIN-CAPEX,Vendor Services,28647,30446,1799,6.28,EcoCool,PO100080
2024-02,PHX01,AMER-West,OPS-DC,Maintenance Opex,69601,74804,5203,7.48,Schneider Services,PO100081
2024-02,PHX01,AMER-West,ENG-SVC,Power Opex,104795,99767,-5028,-4.8,FacilityPro,PO100082
2024-02,PHX01,AMER-West,OPS-FAC,Capex Replacement,57099,60443,3344,5.86,Vertiv Services,PO100083
2024-02,PHX01,AMER-West,OPS-DC,Vendor Services,20283,20254,-29,-0.14,Vertiv Services,PO100084
2024-02,SEA01,AMER-West,OPS-DC,Maintenance Opex,104689,113600,8911,8.51,ABB Services,PO100085
2024-02,SEA01,AMER-West,ENG-SVC,Power Opex,104694,108729,4035,3.85,PowerGrid Mechanical,PO100086
2024-02,SEA01,AMER-West,OPS-FAC,Capex Replacement,122896,130237,7341,5.97,EcoCool,PO100087
2024-02,SEA01,AMER-West,OPS-DC,Vendor Services,28083,27629,-454,-1.62,PowerGrid Mechanical,PO100088
2024-02,SJC01,AMER-West,ENG-SVC,Maintenance Opex,277061,310073,33012,11.92,EcoCool,PO100089
2024-02,SJC01,AMER-West,FIN-CAPEX,Power Opex,402224,395725,-6499,-1.62,ABB Services,PO100090
2024-02,SJC01,AMER-West,FIN-CAPEX,Capex Replacement,527469,586943,59474,11.28,FacilityPro,PO100091
2024-02,SJC01,AMER-West,OPS-DC,Vendor Services,79682,80911,1229,1.54,ABB Services,PO100092
2024-02,TOR01,AMER-Central,ENG-SVC,Maintenance Opex,102979,116716,13737,13.34,DataVolt,PO100093
2024-02,TOR01,AMER-Central,OPS-DC,Power Opex,148496,155931,7435,5.01,FacilityPro,PO100094
2024-02,TOR01,AMER-Central,OPS-DC,Capex Replacement,89907,87622,-2285,-2.54,FacilityPro,PO100095
2024-02,TOR01,AMER-Central,OPS-DC,Vendor Services,22344,23350,1006,4.5,CBRE Ops,PO100096
2024-03,ASH01,AMER-East,FIN-CAPEX,Maintenance Opex,191115,208956,17841,9.34,DataVolt,PO100097
2024-03,ASH01,AMER-East,OPS-DC,Power Opex,530946,494823,-36123,-6.8,CBRE Ops,PO100098
2024-03,ASH01,AMER-East,FIN-CAPEX,Capex Replacement,352425,360324,7899,2.24,PowerGrid Mechanical,PO100099
2024-03,ASH01,AMER-East,OPS-DC,Vendor Services,27606,31799,4193,15.19,ABB Services,PO100100
2024-03,ATL01,AMER-East,OPS-FAC,Maintenance Opex,128013,127388,-625,-0.49,CBRE Ops,PO100101
2024-03,ATL01,AMER-East,OPS-DC,Power Opex,97285,109027,11742,12.07,Vertiv Services,PO100102
2024-03,ATL01,AMER-East,FIN-CAPEX,Capex Replacement,193041,197735,4694,2.43,EcoCool,PO100103
